PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkFlatFiles/auction_2-2-128         	    1479	   3815337 ns/op
BenchmarkFlatFiles/auction_2-2-128         	    1519	   3698243 ns/op
BenchmarkFlatFiles/auction_2-2-128         	    1362	   3829662 ns/op
BenchmarkFlatFiles/auction_2-2-128         	    1335	   3748722 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1300	   4117067 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1344	   4155570 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1507	   4273177 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1322	   4370073 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1251	   4312685 ns/op
BenchmarkFlatFiles/auction_2-3-128         	    1137	   4456341 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1460	   3792021 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1444	   3703787 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1484	   3713781 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1586	   3776226 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1515	   3637360 ns/op
BenchmarkFlatFiles/auction_2-4-128         	    1438	   3846579 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    3286	   1803097 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    2938	   1730673 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    3453	   1646767 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    3627	   1650855 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    3090	   1754138 ns/op
BenchmarkFlatFiles/auction_2-5-128         	    3099	   1643354 ns/op
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3218	   1760970 ns/op
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3142	   1763468 ns/op
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3241	   1763771 ns/op
